Event ID,Year,Event Description,Category,Era
1,-3300000,"The first stone tools are made in Kenya, marking the beginning of technology.",Science/Tech,Ancient World
2,-2300000,Homo habilis achieves the first likely control of fire and cooking.,Science/Tech,Ancient World
3,-350000,Early humans invent paint using ground ochre pigment in Zambia.,Culture,Ancient World
4,-45000,Anatomically modern humans arrive in Europe.,History,Ancient World
5,-31000,The first known representational paintings are created in the Chauvet Caves in France.,Culture,Ancient World
6,-28000,The first ceramics and evidence of weaving are created in Moravia.,Science/Tech,Ancient World
7,-23000,"The dog is domesticated in Siberia, becoming humanity's first animal companion.",History,Ancient World
8,-22000,"The Venus of Willendorf, one of the earliest known sculptures, is carved.",Culture,Ancient World
9,-18000,"The first pottery is created in China, used for cooking and storage.",Science/Tech,Ancient World
10,-10000,Agriculture begins in the Fertile Crescent with the cultivation of wheat and barley.,History,Ancient World
11,-9500,"Göbekli Tepe, the world's oldest known temple complex, is built in Turkey.",Culture,Ancient World
12,-9000,Mudbricks and clay mortar are first used in Jericho.,Science/Tech,Ancient World
13,-8000,Rice is first domesticated and cultivated along the Yangtze River in China.,History,Ancient World
14,-7000,The first known alcohol fermentation (mead) occurs in China.,History,Ancient World
15,-6500,"Evidence of lead smelting is found in Çatalhöyük, Turkey.",Science/Tech,Ancient World
16,-6000,The first evidence of copper smelting is found in modern-day Serbia.,Science/Tech,Ancient World
17,-5500,The first evidence of cheese-making is found in Poland.,History,Ancient World
18,-5000,"The Sumerian civilization evolves in Mesopotamia, developing the first cities.",History,Ancient World
19,-4000,"The wheel is invented in Eastern Europe, revolutionizing transport and machinery.",Science/Tech,Ancient World
20,-4000,Paved roads are constructed in the Mesopotamian city of Ur.,Science/Tech,Ancient World
21,-3630,The first silk garments are produced in China through sericulture.,History,Ancient World
22,-3500,The horse is first domesticated on the Eurasian Steppes.,History,Ancient World
23,-3400,The first system of writing (cuneiform) is developed by the Sumerians in Mesopotamia.,History,Ancient World
24,-3200,"The first known wheeled vehicle, the Ljubljana Marshes Wheel, is made in Slovenia.",Science/Tech,Ancient World
25,-3100,"The first dynasty of Egypt is established, unifying the Upper and Lower kingdoms.",Politics/War,Ancient World
26,-3000,"Papyrus, an early form of paper, is developed in Egypt.",Science/Tech,Ancient World
27,-2650,The first ruler or measuring rod is used in Sumer.,Science/Tech,Ancient World
28,-2600,The Indus Valley Civilization flourishes with planned cities like Mohenjo-daro.,History,Ancient World
29,-2560,The Great Pyramid of Giza is completed in Egypt under Pharaoh Khufu.,Culture,Ancient World
30,-2400,The first known forks are used in Bronze Age China.,History,Ancient World
31,-2300,The first known dictionary is created on clay tablets in Mesopotamia.,Culture,Ancient World
32,-2000,"The chariot is invented in Russia and Kazakhstan, transforming warfare.",Science/Tech,Ancient World
33,-1800,The first alphabetic writing system appears in the Sinai Peninsula.,History,Ancient World
34,-1780,King Hammurabi of Babylon issues his comprehensive legal code.,History,Ancient World
35,-1600,"The first known surgical treatise, the Edwin Smith Papyrus, appears in Egypt.",Science/Tech,Ancient World
36,-1500,The sundial is invented in Ancient Egypt or Babylonia.,Science/Tech,Ancient World
37,-1400,"The water clock is invented in Egypt, allowing timekeeping at night.",Science/Tech,Ancient World
38,-1300,The lathe is invented in Ancient Egypt.,Science/Tech,Ancient World
39,-1200,"The Iron Age begins in the Near East, replacing bronze with a stronger metal.",Science/Tech,Ancient World
40,-1027,The Zhou dynasty begins its long rule in China.,Politics/War,Ancient World
41,-850,Homer is believed to have composed the epic poems The Iliad and The Odyssey.,Culture,Ancient World
42,-776,"The first Olympic Games are recorded in Olympia, Greece.",Culture,Ancient World
43,-753,The city of Rome is traditionally founded by Romulus.,Politics/War,Ancient World
44,-653,The Persian Empire begins its rise to prominence in the Middle East.,Politics/War,Ancient World
45,-650,The crossbow is invented in China.,Science/Tech,Ancient World
46,-600,Coins are first used as currency in Lydia (modern-day Turkey).,History,Ancient World
47,-586,The First Temple in Jerusalem (Solomon's Temple) is destroyed by the Babylonians.,Politics/War,Ancient World
48,-563,"Siddhartha Gautama, the Buddha, is born in Lumbini, Nepal.",Culture,Ancient World
49,-551,The philosopher Confucius is born in China.,Culture,Ancient World
50,-509,The Roman Republic is founded after the overthrow of the last Roman king.,Politics/War,Ancient World
51,-508,"Democracy is introduced in Athens, Greece, under the reforms of Cleisthenes.",Politics/War,Ancient World
52,-500,The philosopher Pythagoras studies mathematics and the movement of celestial bodies.,Science/Tech,Ancient World
53,-490,The Athenians defeat the Persians at the Battle of Marathon.,Politics/War,Ancient World
54,-485,"The catapult is invented by Ajatashatru in Magadha, India.",Science/Tech,Ancient World
