Event ID,Year,Event Description,Category,Era
1,-3300000,"The first stone tools are made in Kenya, marking the beginning of technology.",Science/Tech,Ancient World
2,-2300000,Homo habilis achieves the first likely control of fire and cooking.,Science/Tech,Ancient World
3,-350000,Early humans invent paint using ground ochre pigment in Zambia.,Arts/Culture,Ancient World
4,-45000,Anatomically modern humans arrive in Europe.,Civilization,Ancient World
5,-31000,The first known representational paintings are created in the Chauvet Caves in France.,Arts/Culture,Ancient World
6,-28000,The first ceramics and evidence of weaving are created in Moravia.,Science/Tech,Ancient World
7,-23000,"The dog is domesticated in Siberia, becoming humanity's first animal companion.",Civilization,Ancient World
8,-22000,"The Venus of Willendorf, one of the earliest known sculptures, is carved.",Arts/Culture,Ancient World
9,-18000,"The first pottery is created in China, used for cooking and storage.",Science/Tech,Ancient World
10,-10000,Agriculture begins in the Fertile Crescent with the cultivation of wheat and barley.,Civilization,Ancient World
11,-9500,"Göbekli Tepe, the world's oldest known temple complex, is built in Turkey.",Arts/Culture,Ancient World
416,-9000,Mudbricks and clay mortar are first used in Jericho.,Science/Tech,Ancient World
12,-8000,Rice is first domesticated and cultivated along the Yangtze River in China.,Civilization,Ancient World
13,-7000,The first known alcohol fermentation (mead) occurs in China.,Civilization,Ancient World
417,-6500,"Evidence of lead smelting is found in Çatalhöyük, Turkey.",Science/Tech,Ancient World
14,-6000,The first evidence of copper smelting is found in modern-day Serbia.,Science/Tech,Ancient World
418,-5500,The first evidence of cheese-making is found in Poland.,Civilization,Ancient World
15,-5000,"The Sumerian civilization evolves in Mesopotamia, developing the first cities.",Civilization,Ancient World
16,-4000,"The wheel is invented in Eastern Europe, revolutionizing transport and machinery.",Science/Tech,Ancient World
419,-4000,Paved roads are constructed in the Mesopotamian city of Ur.,Science/Tech,Ancient World
420,-3630,The first silk garments are produced in China through sericulture.,Civilization,Ancient World
17,-3500,The horse is first domesticated on the Eurasian Steppes.,Civilization,Ancient World
18,-3400,The first system of writing (cuneiform) is developed by the Sumerians in Mesopotamia.,Civilization,Ancient World
19,-3200,"The first known wheeled vehicle, the Ljubljana Marshes Wheel, is made in Slovenia.",Science/Tech,Ancient World
20,-3100,"The first dynasty of Egypt is established, unifying the Upper and Lower kingdoms.",Politics/War,Ancient World
21,-3000,"Papyrus, an early form of paper, is developed in Egypt.",Science/Tech,Ancient World
421,-2650,The first ruler or measuring rod is used in Sumer.,Science/Tech,Ancient World
22,-2600,The Indus Valley Civilization flourishes with planned cities like Mohenjo-daro.,Civilization,Ancient World
23,-2560,The Great Pyramid of Giza is completed in Egypt under Pharaoh Khufu.,Arts/Culture,Ancient World
422,-2400,The first known forks are used in Bronze Age China.,Civilization,Ancient World
24,-2300,The first known dictionary is created on clay tablets in Mesopotamia.,Arts/Culture,Ancient World
25,-2000,"The chariot is invented in Russia and Kazakhstan, transforming warfare.",Science/Tech,Ancient World
26,-1800,The first alphabetic writing system appears in the Sinai Peninsula.,Civilization,Ancient World
27,-1780,King Hammurabi of Babylon issues his comprehensive legal code.,Civilization,Ancient World
28,-1600,"The first known surgical treatise, the Edwin Smith Papyrus, appears in Egypt.",Science/Tech,Ancient World
29,-1500,The sundial is invented in Ancient Egypt or Babylonia.,Science/Tech,Ancient World
30,-1400,"The water clock is invented in Egypt, allowing timekeeping at night.",Science/Tech,Ancient World
423,-1300,The lathe is invented in Ancient Egypt.,Science/Tech,Ancient World
31,-1200,"The Iron Age begins in the Near East, replacing bronze with a stronger metal.",Science/Tech,Ancient World
32,-1027,The Zhou dynasty begins its long rule in China.,Politics/War,Ancient World
33,-850,Homer is believed to have composed the epic poems The Iliad and The Odyssey.,Arts/Culture,Ancient World
34,-776,"The first Olympic Games are recorded in Olympia, Greece.",Arts/Culture,Ancient World
35,-753,The city of Rome is traditionally founded by Romulus.,Politics/War,Ancient World
36,-653,The Persian Empire begins its rise to prominence in the Middle East.,Politics/War,Ancient World
424,-650,The crossbow is invented in China.,Science/Tech,Ancient World
37,-600,Coins are first used as currency in Lydia (modern-day Turkey).,Civilization,Ancient World
38,-586,The First Temple in Jerusalem (Solomon's Temple) is destroyed by the Babylonians.,Politics/War,Ancient World
39,-563,"Siddhartha Gautama, the Buddha, is born in Lumbini, Nepal.",Arts/Culture,Ancient World
40,-551,The philosopher Confucius is born in China.,Arts/Culture,Ancient World
41,-509,The Roman Republic is founded after the overthrow of the last Roman king.,Politics/War,Ancient World
42,-508,"Democracy is introduced in Athens, Greece, under the reforms of Cleisthenes.",Politics/War,Ancient World
43,-500,The philosopher Pythagoras studies mathematics and the movement of celestial bodies.,Science/Tech,Ancient World
